2024-09-14T00:09:10.183Z - Tx: 19800, Rate: 3.66 tx/s, Errors: {"unknown":124}
2024-09-14T00:09:30.509Z - Tx: 19900, Rate: 3.67 tx/s, Errors: {"unknown":124}
2024-09-14T00:09:50.894Z - Tx: 20000, Rate: 3.67 tx/s, Errors: {"unknown":124}
2024-09-14T00:10:10.378Z - Tx: 20100, Rate: 3.68 tx/s, Errors: {"unknown":124}
2024-09-14T00:10:30.461Z - Tx: 20200, Rate: 3.68 tx/s, Errors: {"unknown":124}
2024-09-14T00:10:56.233Z - Tx: 20300, Rate: 3.68 tx/s, Errors: {"unknown":128}
2024-09-14T00:11:14.688Z - Tx: 20400, Rate: 3.69 tx/s, Errors: {"unknown":128}
2024-09-14T00:11:34.350Z - Tx: 20500, Rate: 3.69 tx/s, Errors: {"unknown":128}
2024-09-14T00:11:54.546Z - Tx: 20600, Rate: 3.70 tx/s, Errors: {"unknown":128}
2024-09-14T00:13:20.179Z - Tx: 20700, Rate: 3.66 tx/s, Errors: {"unknown":133}
2024-09-14T00:13:40.199Z - Tx: 20800, Rate: 3.66 tx/s, Errors: {"unknown":133}
2024-09-14T00:14:00.186Z - Tx: 20900, Rate: 3.67 tx/s, Errors: {"unknown":133}
2024-09-14T00:14:19.214Z - Tx: 21000, Rate: 3.67 tx/s, Errors: {"unknown":133}
2024-09-14T00:14:39.678Z - Tx: 21100, Rate: 3.68 tx/s, Errors: {"unknown":133}
2024-09-14T00:14:59.367Z - Tx: 21200, Rate: 3.68 tx/s, Errors: {"unknown":133}
2024-09-14T00:15:19.598Z - Tx: 21300, Rate: 3.69 tx/s, Errors: {"unknown":133}
2024-09-14T00:15:39.335Z - Tx: 21400, Rate: 3.69 tx/s, Errors: {"unknown":133}
2024-09-14T00:15:59.634Z - Tx: 21500, Rate: 3.70 tx/s, Errors: {"unknown":133}
2024-09-14T00:16:19.334Z - Tx: 21600, Rate: 3.70 tx/s, Errors: {"unknown":133}
2024-09-14T00:16:39.776Z - Tx: 21700, Rate: 3.70 tx/s, Errors: {"unknown":133}
2024-09-14T00:16:59.469Z - Tx: 21800, Rate: 3.71 tx/s, Errors: {"unknown":133}
2024-09-14T00:17:21.763Z - Tx: 21900, Rate: 3.71 tx/s, Errors: {"unknown":135}
2024-09-14T00:17:41.560Z - Tx: 22000, Rate: 3.72 tx/s, Errors: {"unknown":135}
2024-09-14T00:18:01.901Z - Tx: 22100, Rate: 3.72 tx/s, Errors: {"unknown":135}
2024-09-14T00:18:22.090Z - Tx: 22200, Rate: 3.72 tx/s, Errors: {"unknown":135}
2024-09-14T00:18:41.940Z - Tx: 22300, Rate: 3.73 tx/s, Errors: {"unknown":135}
2024-09-14T00:19:01.641Z - Tx: 22400, Rate: 3.73 tx/s, Errors: {"unknown":135}
2024-09-14T00:19:21.649Z - Tx: 22500, Rate: 3.74 tx/s, Errors: {"unknown":135}
2024-09-14T00:19:41.770Z - Tx: 22600, Rate: 3.74 tx/s, Errors: {"unknown":135}
2024-09-14T00:20:01.758Z - Tx: 22700, Rate: 3.75 tx/s, Errors: {"unknown":135}
2024-09-14T00:20:22.280Z - Tx: 22800, Rate: 3.75 tx/s, Errors: {"unknown":135}
2024-09-14T00:20:41.891Z - Tx: 22900, Rate: 3.75 tx/s, Errors: {"unknown":135}
2024-09-14T00:21:02.124Z - Tx: 23000, Rate: 3.76 tx/s, Errors: {"unknown":135}
2024-09-14T00:22:27.627Z - Tx: 23100, Rate: 3.72 tx/s, Errors: {"unknown":140}
2024-09-14T00:22:47.496Z - Tx: 23200, Rate: 3.73 tx/s, Errors: {"unknown":140}
2024-09-14T00:23:07.207Z - Tx: 23300, Rate: 3.73 tx/s, Errors: {"unknown":140}
2024-09-14T00:23:27.169Z - Tx: 23400, Rate: 3.73 tx/s, Errors: {"unknown":140}
2024-09-14T00:23:47.244Z - Tx: 23500, Rate: 3.74 tx/s, Errors: {"unknown":140}
2024-09-14T00:24:07.468Z - Tx: 23600, Rate: 3.74 tx/s, Errors: {"unknown":140}
2024-09-14T00:24:27.271Z - Tx: 23700, Rate: 3.75 tx/s, Errors: {"unknown":140}
2024-09-14T00:24:47.723Z - Tx: 23800, Rate: 3.75 tx/s, Errors: {"unknown":140}
2024-09-14T00:26:11.243Z - Tx: 23900, Rate: 3.72 tx/s, Errors: {"unknown":143}
2024-09-14T00:26:31.151Z - Tx: 24000, Rate: 3.72 tx/s, Errors: {"unknown":143}
2024-09-14T00:26:51.430Z - Tx: 24100, Rate: 3.72 tx/s, Errors: {"unknown":143}
2024-09-14T00:27:11.195Z - Tx: 24200, Rate: 3.73 tx/s, Errors: {"unknown":144}
2024-09-14T00:27:31.263Z - Tx: 24300, Rate: 3.73 tx/s, Errors: {"unknown":144}
2024-09-14T00:27:51.255Z - Tx: 24400, Rate: 3.74 tx/s, Errors: {"unknown":144}
2024-09-14T00:28:13.384Z - Tx: 24500, Rate: 3.74 tx/s, Errors: {"unknown":146}
2024-09-14T00:28:33.413Z - Tx: 24600, Rate: 3.74 tx/s, Errors: {"unknown":146}
2024-09-14T00:28:53.422Z - Tx: 24700, Rate: 3.75 tx/s, Errors: {"unknown":146}
2024-09-14T00:29:13.659Z - Tx: 24800, Rate: 3.75 tx/s, Errors: {"unknown":146}
2024-09-14T00:29:33.382Z - Tx: 24900, Rate: 3.75 tx/s, Errors: {"unknown":146}
